date,file_url,title,writer
22.10.27,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666827226232.pdf,채권사이클이 돌아온다 (2),하이투자증권
22.10.27,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666826901721.pdf,채권 Daily (10.27),유안타증권
22.10.25,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666655352492.pdf,두 마리 토끼를 잡을 수 있을까,하나증권
22.10.24,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666575418529.pdf,포스트 팬데믹 시대의 통화정책 조합,신한투자증권
22.10.27,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666826790636.pdf,한은의 11월 선택지 점검,하나증권
22.10.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666740655302.pdf,채권 Daily (10.26),유안타증권
22.10.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666740552450.pdf,급한 불은 껐다,하나증권
22.10.24,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666570327738.pdf,10/23 시장안정조치 기대 효과,신한투자증권
22.10.24,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666569110404.pdf,채권 Daily (10.24),유안타증권
22.10.24,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666566946105.pdf,[Hanwha FI Weekly] 끝판왕은 변하지 않았다,한화투자증권
22.10.24,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666566700728.pdf,"정부, 시장 유동성 공급 프로그램 50조원 + α 규모로..",교보증권
22.10.25,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666655458132.pdf,채권 Daily (10.25),유안타증권
22.10.21,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666317053369.pdf,해외채권; 미국채 바이백(Buyback) 이슈 점검,신한투자증권
22.10.21,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666307753401.pdf,채권 Daily (10.21),유안타증권
22.10.20,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666224137291.pdf,채권 Daily (10.20),유안타증권
22.10.19,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666136261125.pdf,채권 Daily (10.19),유안타증권
22.10.19,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666135075150.pdf,채권사이클이 돌아온다 (1),하이투자증권
22.10.19,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666134925015.pdf,외양간에 불이 난다면,하나증권
22.10.18,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666049211784.pdf,채권 Daily (10.18),유안타증권
22.10.18,https://ssl.pstatic.net/imgstock/upload/research/debenture/1666047990020.pdf,[연준 Pivot 조건] ① 추세 이하 성장,하나증권
22.10.17,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665965646965.pdf,아직 안도할 수 없다,신한투자증권
22.10.17,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665965556141.pdf,채권 Daily (10.17),유안타증권
22.10.17,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665965462927.pdf,[Hanwha FI Weekly] 한국 Pivot의 메커니즘: 미국 물..,한화투자증권
22.10.14,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665706945805.pdf,9월 FOMC 의사록: 물가 안정에 박차를!,이베스트증권
22.10.14,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665705596102.pdf,채권 Daily (10.14) ,유안타증권
22.10.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665628632444.pdf,정부 지원책의 단기자금 시장 구출,신한투자증권
22.10.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665619078886.pdf,채권 Daily (10.13),유안타증권
22.10.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665617042566.pdf,일단 안도 후 바라보는 대외 여건,신한투자증권
22.10.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665616749926.pdf,10월 금통위: 빅스텝(50bp) 인상. 어느 것 하나 쉽지 ..,교보증권
22.10.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665616620352.pdf,10월 금통위 Review: 한은 Pivot 조건,하나증권
22.10.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665616519099.pdf,10월 금통위 Review: 연준만 경로대로 가면 11월엔 25..,이베스트증권
22.10.12,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665551199327.pdf,[Hanwha BOK Review] 관건은 미국,한화투자증권
22.10.12,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665550958657.pdf,금리 하락의 필요조건,메리츠증권
22.10.12,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665550838359.pdf,Correlation이 가장 두렵다 ,하이투자증권
22.10.12,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665532096626.pdf,채권 Daily (10.12),유안타증권
22.10.12,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665531993721.pdf,"환율상승: 금리가 아니라, 외국환은행이 변수",유안타증권
22.10.12,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665531779920.pdf,소 잃기 전에 외양간 고치기,하나증권
22.10.11,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665447574804.pdf,매파일 수 밖에 없어도 유연하게,신한투자증권
22.10.11,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665447488989.pdf,과도하게 강한 펀더멘탈,신한투자증권
22.10.11,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665447395059.pdf,채권 Daily (10.11),유안타증권
22.10.11,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665447316486.pdf,[Hanwha FI Weekly] 금통위 Preview: 10월에 이은 추..,한화투자증권
22.10.07,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665099875037.pdf,채권 Daily (10.07),유안타증권
22.10.06,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665013228503.pdf,"긴 금리 상승의 부작용, 신용리스크",하이투자증권
22.10.06,https://ssl.pstatic.net/imgstock/upload/research/debenture/1665013058352.pdf,채권 Daily (10.06),유안타증권
22.10.05,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664928597701.pdf,채권 Daily (10.05),유안타증권
22.10.05,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664928471382.pdf,다 같이 한 배를 탄 것 같긴 한데…,하나증권
22.10.04,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664843475459.pdf,채권 Daily (10.04),유안타증권
22.10.04,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664843391753.pdf,[Hanwha FI Monthly] We go together,한화투자증권
22.09.30,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664495295625.pdf,침체로 옮겨가지 않는 시선,신한투자증권
22.09.30,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664495203441.pdf,초행길은 언제나 두렵다 ,신한투자증권
22.09.30,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664495132241.pdf,10월의 파고를 넘어야,신한투자증권
22.09.30,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664494808743.pdf,채권 Daily (09.30),유안타증권
22.09.29,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664409549007.pdf,채권 Daily (09.29),유안타증권
22.09.28,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664323816889.pdf,채권 Daily (09.28),유안타증권
22.09.28,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664323673457.pdf,손에 잡히는 ESG ,하나증권
22.09.27,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664236231435.pdf,채권 Daily (09.27),유안타증권
22.09.27,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664236096679.pdf,"FOMC 이후 유동성, 점검해야 할 변수들",유안타증권
22.09.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664151091992.pdf,연속된 악재에 치우쳐진 투자심리,신한투자증권
22.09.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664150994084.pdf,"한은도 동참할 인상 Race, 10월 50bp 예상",신한투자증권
22.09.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664150895786.pdf,채권 Daily (09.26),유안타증권
22.09.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664150765649.pdf,[Hanwha FI Weekly] 시선은 당분간 Upward,한화투자증권
22.09.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1664150640133.pdf,여지를 남기지 않겠다,교보증권
22.09.23,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663895109654.pdf,채권 Daily (09.23),유안타증권
22.09.23,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663894918487.pdf,"한국도 추가 ‘Big Step’ 단행 유력, 연말 3.25% 전..",한화투자증권
22.09.22,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663805760583.pdf,"ESG 조달의 트렌드, SLL/SLB",신한투자증권
22.09.22,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663805395547.pdf,채권 Daily (09.22),유안타증권
22.09.22,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663805257855.pdf,[Hanwha FOMC Review] 인상 기간 압축,한화투자증권
22.09.22,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663805074034.pdf,9월 FOMC: 3회 연속 75bp 금리 인상. 매파적 통화정책..,교보증권
22.09.22,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663804968836.pdf,[9월 FOMC] 우회적으로 표현한 침체 용인,하나증권
22.09.22,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663804784320.pdf, 9월 FOMC Review: 희미해진 연착륙 가능성,이베스트증권
22.09.21,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663719037780.pdf,채권 Daily (09.21),유안타증권
22.09.21,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663718892530.pdf,돌아온 역전의 용사,하나증권
22.09.20,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663632884461.pdf,채권 Daily (09.20),유안타증권
22.09.19,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663552288981.pdf,모두의 관심사 9월 FOMC,신한투자증권
22.09.19,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663552160979.pdf,Reload(재장전)의 시간,신한투자증권
22.09.19,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663551701799.pdf,채권 Daily (09.19),유안타증권
22.09.19,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663551474900.pdf,[Hanwha FI Weekly] FOMC Preview: 만장일치 75bp 인..,한화투자증권
22.09.19,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663551380246.pdf,[Hanwha FI Comment] 스프레드 역전에 익숙해질 필요,한화투자증권
22.09.19,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663550931083.pdf,9월 FOMC의 관전 포인트,하나증권
22.09.16,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663287671094.pdf,장기금리 안정을 위한 조건,미래에셋증권
22.09.16,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663286487275.pdf,[Hanwha FI Comment] 한미 Terminal Rate 전망: 3.50%..,한화투자증권
22.09.16,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663285212961.pdf,채권 Daily (09.16) ,유안타증권
22.09.15,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663200246870.pdf,9월 FOMC Preview: 75bp 인상. 매파적 스탠스 유지,교보증권
22.09.15,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663199968731.pdf,BONDView,하나증권
22.09.15,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663198463986.pdf,채권 Daily (09.15),유안타증권
22.09.14,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663117591729.pdf,환율은 금리보다 외생변수,메리츠증권
22.09.14,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663112114529.pdf,채권 Daily (09.14) ,유안타증권
22.09.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663030129513.pdf,9월 ECB: 75bp 기준금리 인상. 물가대응 위한 불가피..,교보증권
22.09.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663028006138.pdf,"[Hanwha FI Weekly] 같은 듯 다른 길, 대외 변동성 확..",한화투자증권
22.09.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663027947907.pdf,[Hanwha ECB Review] 밑장 빼기 = 자신감 없음 ,한화투자증권
22.09.13,https://ssl.pstatic.net/imgstock/upload/research/debenture/1663026799113.pdf,채권 Daily (09.13) ,유안타증권
22.09.08,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662599876519.pdf,2022년 공공기관 재무관리 계획 검토,신한투자증권
22.09.08,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662599383915.pdf,채권 Daily (09.08),유안타증권
22.09.08,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662599273305.pdf,기술적 조정보다 추세 대응이 필요한 구간,하나증권
22.09.07,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662509296317.pdf,ECB 긴축의 의미와 미국 실질금리 상승의 원인,미래에셋증권
22.09.07,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662509027455.pdf,팔아먹고 사는 자의 슬픔,하나증권
22.09.07,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662507135882.pdf,채권 Daily (09.07) ,유안타증권
22.09.06,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662420933256.pdf,채권 Daily (09.06),유안타증권
22.09.05,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662338467348.pdf,작동하기 시작하는 연준의 의도,하나증권
22.09.05,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662337080186.pdf,[Hanwha FI Monthly] 盲人摸象(맹인모상) ,한화투자증권
22.09.05,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662336360546.pdf,채권 Daily (09.05),유안타증권
22.09.02,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662076168993.pdf,채권 Daily (09.02),유안타증권
22.09.02,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662075491253.pdf,스텝 백(Step Back),신한투자증권
22.09.02,https://ssl.pstatic.net/imgstock/upload/research/debenture/1662073960094.pdf,걱정과 희망 사이에서 ,신한투자증권
22.09.01,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661991762286.pdf,잭슨홀 이후 무엇을 볼까 ,하나증권
22.09.01,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661990502131.pdf,채권 Daily (09.02),유안타증권
22.08.31,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661906242922.pdf,김여사와 박사장,하나증권
22.08.31,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661904890861.pdf,[Hanwha FI Weekly] 잭슨홀 미팅: 속사정은 달라도 겉..,한화투자증권
22.08.31,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661903627838.pdf,채권 Daily (08.31),유안타증권
22.08.30,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661820774309.pdf,채권 Daily (08.30),유안타증권
22.08.30,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661818334622.pdf,연준의 피봇 가능성 점검하기,이베스트증권
22.08.29,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661737809438.pdf,잭슨 홀 심포지엄 리뷰: 연준과 싸우지 마라 (Don’t ..,교보증권
22.08.29,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661737717442.pdf,No Pivot (연준 피벗은 없다),교보증권
22.08.29,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661737600385.pdf,"예측 어려운 변수, 정직해지는 연준",하나증권
22.08.29,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661735642594.pdf,[Hanwha FI Weekly] 잭슨홀 미팅: 속사정은 달라도 겉..,한화투자증권
22.08.29,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661735099967.pdf,[유안타 Credit] 채권 Daily (08.29),유안타증권
22.08.29,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661734160074.pdf,해외채권; 잭슨홀 이후 시장금리,신한투자증권
22.08.29,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661733382990.pdf,당분간 중앙은행에 맞서지 말라,신한투자증권
22.08.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661473974858.pdf,[Hanwha BOK Review] 중립금리 그 너머를 반영할 필요..,한화투자증권
22.08.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661473807377.pdf,[유안타 Credit] 채권 Daily (08.26),유안타증권
22.08.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661473655498.pdf,8월 금통위: 기준금리 25bp 인상. 당분간 물가 대응에..,교보증권
22.08.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661473403253.pdf,8월 금통위 Review: 6월로 되돌아간 심리,하나증권
22.08.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661473291540.pdf,"8월 금통위 Review: 매파적인 한국은행, 10월 인상은 ..",이베스트증권
22.08.25,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661390645207.pdf,전일 주요 채권 관련 기사,유안타증권
22.08.25,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661390432995.pdf,"Seeking Yield, 금리 커브와 변동성 변화",유안타증권
22.08.25,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661385744946.pdf,[잭슨홀 Preview] 파월의 책무와 실현 가능성,하나증권
22.08.24,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661299773812.pdf,[유안타 Credit] 채권 Daily (08.24),유안타증권
22.08.24,https://ssl.pstatic.net/imgstock/upload/research/debenture/1661298093151.pdf,"달러화 강세, 원화 장기채권 매수 기회로",미래에셋증권
22.08.18,https://ssl.pstatic.net/imgstock/upload/research/debenture/1660798032945.pdf,미국 BEI와 실질금리의 엇갈린 흐름,미래에셋증권
22.08.18,https://ssl.pstatic.net/imgstock/upload/research/debenture/1660788705668.pdf,"7월 FOMC 의사록: 속도 조정 언급됐지만, 아직 기대하..",이베스트증권
22.08.17,https://ssl.pstatic.net/imgstock/upload/research/debenture/1660692825640.pdf,김여사 전성시대와 그 한계,하나증권
22.08.17,https://ssl.pstatic.net/imgstock/upload/research/debenture/1660692707157.pdf,집중호우가 물가에 미치는 영향,하나증권
22.08.11,https://ssl.pstatic.net/imgstock/upload/research/debenture/1660186203222.pdf,물가 피크아웃에도 갈 길 가는 연준,하나증권
22.08.11,https://ssl.pstatic.net/imgstock/upload/research/debenture/1660175497560.pdf,"미국 인플레 안정 조짐, 국내 장기금리 안정 기대",미래에셋증권
22.08.11,https://ssl.pstatic.net/imgstock/upload/research/debenture/1660173661609.pdf,부동산금융이슈에 대한 새로운 접근,하나증권
22.08.11,https://ssl.pstatic.net/imgstock/upload/research/debenture/1660173462823.pdf,한미 경기 역전 확대와 스프레드,하나증권
22.08.09,https://ssl.pstatic.net/imgstock/upload/research/debenture/1660000539701.pdf,美 고용지표에 대한 객관적인 접근 필요,이베스트증권
22.08.08,https://ssl.pstatic.net/imgstock/upload/research/debenture/1659915950241.pdf,미국 고용 서프라이즈: 시간 문제이지만 경로 재조정 ..,하나증권
22.08.04,https://ssl.pstatic.net/imgstock/upload/research/debenture/1659568462186.pdf,경기침체 논란과 금리,하나증권
22.08.03,https://ssl.pstatic.net/imgstock/upload/research/debenture/1659482044146.pdf,"7월 한국 소비자물가, 상승 모멘텀은 둔화",이베스트증권
22.07.29,https://ssl.pstatic.net/imgstock/upload/research/debenture/1659050231553.pdf,인플레이션 파고를 넘어,교보증권
22.07.28,https://ssl.pstatic.net/imgstock/upload/research/debenture/1658963780800.pdf,7월 FOMC: 2회 연속 자이언트 스텝(75bp) 금리 인상 ..,교보증권
22.07.28,https://ssl.pstatic.net/imgstock/upload/research/debenture/1658963623339.pdf,[7월 FOMC] 현재보다 미래를 빠르게 반영,하나증권
22.07.28,https://ssl.pstatic.net/imgstock/upload/research/debenture/1658963332531.pdf,7월 FOMC Review: 명확한 가이던스의 부재,이베스트증권
22.07.27,https://ssl.pstatic.net/imgstock/upload/research/debenture/1658877495993.pdf,누가 고양이 목에 방울을 달까,하나증권
22.07.27,https://ssl.pstatic.net/imgstock/upload/research/debenture/1658877235331.pdf,성장률 서프라이즈 이후 금리 흐름,하나증권
22.07.26,https://ssl.pstatic.net/imgstock/upload/research/debenture/1658811417324.pdf,"한국 2분기 GDP: 민간소비가 해냈지만, 일회성에 그칠..",이베스트증권
22.07.22,https://ssl.pstatic.net/imgstock/upload/research/debenture/1658455211505.pdf,7월 ECB Review: 50bp 인상하고 TPI 승인,이베스트증권
22.07.22,https://ssl.pstatic.net/imgstock/upload/research/debenture/1658445465251.pdf,7월 ECB: 빅스텝(50bp) 기준금리 인상. 마이너스 금리..,교보증권
22.07.20,https://ssl.pstatic.net/imgstock/upload/research/debenture/1658293072234.pdf,주택시장 둔화 가시화,하나증권
22.07.20,,미국 금리 역전 심화와 국내 장기금리 추가 하락 기대,미래에셋증권
